transformation,closest_reaction,delta_mz_observed,delta_mz_error,metabolite_from,mz_from,rt_from,metabolite_to,mz_to,rt_to,method
alpha-hydroxybutyrate/beta-hydroxybutyrate--->2-hydroxyglutarate,Carboxylation,43.9898,2.9239119996304908e-05,alpha-hydroxybutyrate/beta-hydroxybutyrate,103.0401,3.6,2-hydroxyglutarate,147.0299,7,HILIC-neg
glyceric_acid--->2-hydroxyglutarate,Acetylation,42.0106,3.5315979999950287e-05,glyceric_acid,105.0193,4.1,2-hydroxyglutarate,147.0299,7,HILIC-neg
taurine_HILIC-neg--->2-hydroxyglutarate,Tyr → Trp,23.022499999999994,0.006515582529992514,taurine_HILIC-neg,124.0074,3.6,2-hydroxyglutarate,147.0299,7,HILIC-neg
malate--->2-hydroxyglutarate,Methylation,14.01570000000001,4.993554000876088e-05,malate,133.0142,6.95,2-hydroxyglutarate,147.0299,7,HILIC-neg
alpha-ketoglutarate--->2-hydroxyglutarate,Hydrogenation,2.0157000000000096,4.993554000964906e-05,alpha-ketoglutarate,145.0142,7.35,2-hydroxyglutarate,147.0299,7,HILIC-neg
2-hydroxyglutarate--->glutamate_HILIC-neg,COOH → CONH2,-0.9840000000000089,1.5582529989899285e-05,2-hydroxyglutarate,147.0299,7,glutamate_HILIC-neg,146.0459,5.2,HILIC-neg
2-hydroxyglutarate--->3-methylxanthine,Hydration,18.011899999999997,0.0013353159799969205,2-hydroxyglutarate,147.0299,7,3-methylxanthine,165.0418,3.15,HILIC-neg
2-hydroxyglutarate--->ascorbate,Formylation,27.9949,1.4619559998152454e-05,2-hydroxyglutarate,147.0299,7,ascorbate,175.0248,8.5,HILIC-neg
2-hydroxyglutarate--->citrate/isocitrate,Carboxylation,43.9898,2.9239119996304908e-05,2-hydroxyglutarate,147.0299,7,citrate/isocitrate,191.0197,9,HILIC-neg
hydrocinnamic_acid--->3-methylxanthine,OH → SH,15.980999999999995,0.003843619559994238,hydrocinnamic_acid,149.0608,3.6,3-methylxanthine,165.0418,3.15,HILIC-neg
hydrocinnamic_acid--->phenyllactic_acid,Hydroxylation,15.994900000000001,1.4619559998152454e-05,hydrocinnamic_acid,149.0608,3.6,phenyllactic_acid,165.0557,3.55,HILIC-neg
